customer_no,utilisation,dpd_days,cash_credit_ratio,cash_debit_ratio,inbound_cheque_bounce_count,inbound_cheque_bounce_amt,outbound_cheque_bounce_count,outbound_cheque_bounce_amt,total_amt_credit,total_amt_debit,no_of_banks,risky
1,5.91,96,0.122315,0.055698,5,249236,10,117949,2238199,139119,3,0
2,1.88,164,0.101295,0.098783,15,80194,29,462140,2474230,385471,13,0
3,7.25,29,0.18296,0.053761,4,3199,18,336493,1153667,2456708,3,0
4,7.82,317,0.079439,0.139368,26,101202,6,382362,514924,1991707,5,1
5,0,259,0.068261,0.050995,24,345546,7,222489,616066,570557,10,0
6,1.09,33,0.148733,0.162719,28,269718,26,223692,355355,1344327,13,0
7,5.38,88,0.027861,0.049111,26,168915,30,194523,2111276,202825,3,0
8,4.05,222,0.143382,0.086022,10,240687,12,374757,1533835,2031955,4,0
9,4.95,216,0.126153,0.082524,2,419062,16,105307,1380989,2279839,14,0
10,2.44,320,0.111153,0.199509,32,285784,27,487702,2032068,871279,5,1
